.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.8958868894601543,0,CD4-22h-2e11
recall,binary,1,0,CD4-22h-2e11
precision,binary,0.8973321067157314,1,CD4-22h-2e11
recall,binary,0.9995900799344127,1,CD4-22h-2e11
precision,binary,0.9012780144471199,2,CD4-22h-2e11
recall,binary,0.9973355195736832,2,CD4-22h-2e11
precision,binary,0.9085285848172446,3,CD4-22h-2e11
recall,binary,0.9934412789506046,3,CD4-22h-2e11
precision,binary,0.9157474324838342,4,CD4-22h-2e11
recall,binary,0.9868825579012093,4,CD4-22h-2e11
precision,binary,0.9281274281274281,5,CD4-22h-2e11
recall,binary,0.9792990366878459,5,CD4-22h-2e11
precision,binary,0.9389978213507625,6,CD4-22h-2e11
recall,binary,0.9717155154744824,6,CD4-22h-2e11
precision,binary,0.9472727272727273,7,CD4-22h-2e11
recall,binary,0.961057593769215,7,CD4-22h-2e11
precision,binary,0.9536505332239541,8,CD4-22h-2e11
recall,binary,0.9530641524902644,8,CD4-22h-2e11
precision,binary,0.9585330277141071,9,CD4-22h-2e11
recall,binary,0.9428161508505841,9,CD4-22h-2e11
precision,binary,0.9629005059021922,10,CD4-22h-2e11
recall,binary,0.9362574298011888,10,CD4-22h-2e11
precision,binary,0.9657373909342414,11,CD4-22h-2e11
recall,binary,0.9301086288173807,11,CD4-22h-2e11
precision,binary,0.9682607763242548,12,CD4-22h-2e11
recall,binary,0.9253945480631277,12,CD4-22h-2e11
precision,binary,0.9688109161793372,13,CD4-22h-2e11
recall,binary,0.9167862266857962,13,CD4-22h-2e11
precision,binary,0.970998691670301,14,CD4-22h-2e11
recall,binary,0.9126870260299241,14,CD4-22h-2e11
precision,binary,0.9721001757469244,15,CD4-22h-2e11
recall,binary,0.9069481451117032,15,CD4-22h-2e11
precision,binary,0.9739053516143299,16,CD4-22h-2e11
recall,binary,0.9026439844230375,16,CD4-22h-2e11
precision,binary,0.9754847336750613,17,CD4-22h-2e11
recall,binary,0.8971100635376101,17,CD4-22h-2e11
precision,binary,0.9762065095398429,18,CD4-22h-2e11
recall,binary,0.8913711826193892,18,CD4-22h-2e11
precision,binary,0.9769595662977185,19,CD4-22h-2e11
recall,binary,0.8864521418323427,19,CD4-22h-2e11
precision,binary,0.9770558836892321,20,CD4-22h-2e11
recall,binary,0.8815331010452961,20,CD4-22h-2e11
precision,binary,0.9780521262002744,21,CD4-22h-2e11
recall,binary,0.8768190202910432,21,CD4-22h-2e11
precision,binary,0.9786157737410899,22,CD4-22h-2e11
recall,binary,0.8723098995695839,22,CD4-22h-2e11
precision,binary,0.978728323699422,23,CD4-22h-2e11
recall,binary,0.867595818815331,23,CD4-22h-2e11
precision,binary,0.9790600279199628,24,CD4-22h-2e11
recall,binary,0.8624718179954909,24,CD4-22h-2e11
