.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.5586190917516218,0,CD4-6h-2e11
recall,binary,1,0,CD4-6h-2e11
sensitivity,binary,1,0,CD4-6h-2e11
specificity,binary,0,0,CD4-6h-2e11
precision,binary,0.5609869646182495,1,CD4-6h-2e11
recall,binary,0.9995852343425964,1,CD4-6h-2e11
sensitivity,binary,0.9995852343425964,1,CD4-6h-2e11
specificity,binary,0.009973753280839895,1,CD4-6h-2e11
precision,binary,0.5698720985315017,2,CD4-6h-2e11
recall,binary,0.9979261717129821,2,CD4-6h-2e11
sensitivity,binary,0.9979261717129821,2,CD4-6h-2e11
specificity,binary,0.046719160104986876,2,CD4-6h-2e11
precision,binary,0.5843270868824532,3,CD4-6h-2e11
recall,binary,0.9958523434259643,3,CD4-6h-2e11
sensitivity,binary,0.9958523434259643,3,CD4-6h-2e11
specificity,binary,0.10341207349081365,3,CD4-6h-2e11
precision,binary,0.6097934200459066,4,CD4-6h-2e11
recall,binary,0.9917046868519287,4,CD4-6h-2e11
sensitivity,binary,0.9917046868519287,4,CD4-6h-2e11
specificity,binary,0.1968503937007874,4,CD4-6h-2e11
precision,binary,0.6415500538213132,5,CD4-6h-2e11
recall,binary,0.9888013272501037,5,CD4-6h-2e11
sensitivity,binary,0.9888013272501037,5,CD4-6h-2e11
specificity,binary,0.30078740157480316,5,CD4-6h-2e11
precision,binary,0.6765375854214123,6,CD4-6h-2e11
recall,binary,0.9854832019908751,6,CD4-6h-2e11
sensitivity,binary,0.9854832019908751,6,CD4-6h-2e11
specificity,binary,0.4036745406824147,6,CD4-6h-2e11
precision,binary,0.708420737189092,7,CD4-6h-2e11
recall,binary,0.9805060141020323,7,CD4-6h-2e11
sensitivity,binary,0.9805060141020323,7,CD4-6h-2e11
specificity,binary,0.48923884514435695,7,CD4-6h-2e11
precision,binary,0.7396356783919598,8,CD4-6h-2e11
recall,binary,0.9767731231854002,8,CD4-6h-2e11
sensitivity,binary,0.9767731231854002,8,CD4-6h-2e11
specificity,binary,0.5648293963254594,8,CD4-6h-2e11
precision,binary,0.7635003253090435,9,CD4-6h-2e11
recall,binary,0.9734549979261717,9,CD4-6h-2e11
sensitivity,binary,0.9734549979261717,9,CD4-6h-2e11
specificity,binary,0.6183727034120735,9,CD4-6h-2e11
precision,binary,0.7857622565480188,10,CD4-6h-2e11
recall,binary,0.9705516383243468,10,CD4-6h-2e11
sensitivity,binary,0.9705516383243468,10,CD4-6h-2e11
specificity,binary,0.6650918635170604,10,CD4-6h-2e11
precision,binary,0.8005492619292826,11,CD4-6h-2e11
recall,binary,0.9672335130651182,11,CD4-6h-2e11
sensitivity,binary,0.9672335130651182,11,CD4-6h-2e11
specificity,binary,0.6950131233595801,11,CD4-6h-2e11
precision,binary,0.8096729297146834,12,CD4-6h-2e11
recall,binary,0.9651596847781003,12,CD4-6h-2e11
sensitivity,binary,0.9651596847781003,12,CD4-6h-2e11
specificity,binary,0.7128608923884514,12,CD4-6h-2e11
precision,binary,0.8185980979218035,13,CD4-6h-2e11
recall,binary,0.9639153878058897,13,CD4-6h-2e11
sensitivity,binary,0.9639153878058897,13,CD4-6h-2e11
specificity,binary,0.7296587926509186,13,CD4-6h-2e11
precision,binary,0.8272792022792023,14,CD4-6h-2e11
recall,binary,0.9635006221484861,14,CD4-6h-2e11
sensitivity,binary,0.9635006221484861,14,CD4-6h-2e11
specificity,binary,0.7454068241469817,14,CD4-6h-2e11
precision,binary,0.8330935251798561,15,CD4-6h-2e11
recall,binary,0.9605972625466611,15,CD4-6h-2e11
sensitivity,binary,0.9605972625466611,15,CD4-6h-2e11
specificity,binary,0.7564304461942257,15,CD4-6h-2e11
precision,binary,0.8390846349436978,16,CD4-6h-2e11
recall,binary,0.9581086686022398,16,CD4-6h-2e11
sensitivity,binary,0.9581086686022398,16,CD4-6h-2e11
specificity,binary,0.7674540682414698,16,CD4-6h-2e11
precision,binary,0.8434528163862473,17,CD4-6h-2e11
recall,binary,0.9564496059726255,17,CD4-6h-2e11
sensitivity,binary,0.9564496059726255,17,CD4-6h-2e11
specificity,binary,0.7753280839895013,17,CD4-6h-2e11
precision,binary,0.8471711976487877,18,CD4-6h-2e11
recall,binary,0.9564496059726255,18,CD4-6h-2e11
sensitivity,binary,0.9564496059726255,18,CD4-6h-2e11
specificity,binary,0.7816272965879265,18,CD4-6h-2e11
precision,binary,0.8513313609467456,19,CD4-6h-2e11
recall,binary,0.9547905433430112,19,CD4-6h-2e11
sensitivity,binary,0.9547905433430112,19,CD4-6h-2e11
specificity,binary,0.7889763779527559,19,CD4-6h-2e11
precision,binary,0.8569832402234637,20,CD4-6h-2e11
recall,binary,0.9543757776856077,20,CD4-6h-2e11
sensitivity,binary,0.9543757776856077,20,CD4-6h-2e11
specificity,binary,0.7984251968503937,20,CD4-6h-2e11
precision,binary,0.8603519281168102,21,CD4-6h-2e11
recall,binary,0.9531314807133969,21,CD4-6h-2e11
sensitivity,binary,0.9531314807133969,21,CD4-6h-2e11
specificity,binary,0.8041994750656168,21,CD4-6h-2e11
precision,binary,0.8633797515995484,22,CD4-6h-2e11
recall,binary,0.9514724180837827,22,CD4-6h-2e11
sensitivity,binary,0.9514724180837827,22,CD4-6h-2e11
specificity,binary,0.8094488188976378,22,CD4-6h-2e11
precision,binary,0.8651812688821753,23,CD4-6h-2e11
recall,binary,0.950228121111572,23,CD4-6h-2e11
sensitivity,binary,0.950228121111572,23,CD4-6h-2e11
specificity,binary,0.8125984251968504,23,CD4-6h-2e11
precision,binary,0.8667171525937145,24,CD4-6h-2e11
recall,binary,0.9493985897967648,24,CD4-6h-2e11
sensitivity,binary,0.9493985897967648,24,CD4-6h-2e11
specificity,binary,0.8152230971128609,24,CD4-6h-2e11
precision,binary,0.8686408504176157,25,CD4-6h-2e11
recall,binary,0.9489838241393612,25,CD4-6h-2e11
sensitivity,binary,0.9489838241393612,25,CD4-6h-2e11
specificity,binary,0.8183727034120735,25,CD4-6h-2e11
precision,binary,0.8700952380952381,26,CD4-6h-2e11
recall,binary,0.947324761509747,26,CD4-6h-2e11
sensitivity,binary,0.947324761509747,26,CD4-6h-2e11
specificity,binary,0.820997375328084,26,CD4-6h-2e11
precision,binary,0.8713249331806033,27,CD4-6h-2e11
recall,binary,0.9464952301949399,27,CD4-6h-2e11
sensitivity,binary,0.9464952301949399,27,CD4-6h-2e11
specificity,binary,0.8230971128608924,27,CD4-6h-2e11
precision,binary,0.872511485451761,28,CD4-6h-2e11
