.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.28383458646616544,0,500
recall,binary,1,0,500
sensitivity,binary,1,0,500
specificity,binary,0,0,500
precision,binary,0.3712544438801422,1,500
recall,binary,0.9682119205298013,1,500
sensitivity,binary,0.9682119205298013,1,500
specificity,binary,0.3501312335958005,1,500
precision,binary,0.5046329294369208,2,500
recall,binary,0.937748344370861,2,500
sensitivity,binary,0.937748344370861,2,500
specificity,binary,0.6351706036745407,2,500
precision,binary,0.5825571549534293,3,500
recall,binary,0.9112582781456954,3,500
sensitivity,binary,0.9112582781456954,3,500
specificity,binary,0.7412073490813649,3,500
precision,binary,0.6337099811676082,4,500
recall,binary,0.8913907284768212,4,500
sensitivity,binary,0.8913907284768212,4,500
specificity,binary,0.7958005249343832,4,500
precision,binary,0.6626626626626627,5,500
recall,binary,0.8768211920529801,5,500
sensitivity,binary,0.8768211920529801,5,500
specificity,binary,0.8230971128608924,5,500
precision,binary,0.6852046169989506,6,500
recall,binary,0.8649006622516556,6,500
sensitivity,binary,0.8649006622516556,6,500
specificity,binary,0.84251968503937,6,500
precision,binary,0.7047200878155873,7,500
recall,binary,0.8503311258278146,7,500
sensitivity,binary,0.8503311258278146,7,500
specificity,binary,0.8587926509186352,7,500
precision,binary,0.7226027397260274,8,500
recall,binary,0.83841059602649,8,500
sensitivity,binary,0.83841059602649,8,500
specificity,binary,0.8724409448818897,8,500
precision,binary,0.7432273262661955,9,500
recall,binary,0.8357615894039735,9,500
sensitivity,binary,0.8357615894039735,9,500
specificity,binary,0.8855643044619422,9,500
precision,binary,0.7527010804321729,10,500
recall,binary,0.8304635761589404,10,500
sensitivity,binary,0.8304635761589404,10,500
specificity,binary,0.8918635170603675,10,500
precision,binary,0.7613219094247246,11,500
recall,binary,0.823841059602649,11,500
sensitivity,binary,0.823841059602649,11,500
specificity,binary,0.8976377952755905,11,500
precision,binary,0.7723880597014925,12,500
recall,binary,0.8225165562913908,12,500
sensitivity,binary,0.8225165562913908,12,500
specificity,binary,0.9039370078740158,12,500
precision,binary,0.7820025348542459,13,500
recall,binary,0.8172185430463577,13,500
sensitivity,binary,0.8172185430463577,13,500
specificity,binary,0.9097112860892388,13,500
precision,binary,0.7953063885267275,14,500
recall,binary,0.8079470198675497,14,500
sensitivity,binary,0.8079470198675497,14,500
specificity,binary,0.9175853018372704,14,500
precision,binary,0.8031704095112285,15,500
recall,binary,0.8052980132450331,15,500
sensitivity,binary,0.8052980132450331,15,500
specificity,binary,0.9217847769028872,15,500
precision,binary,0.8131720430107527,16,500
recall,binary,0.8013245033112583,16,500
sensitivity,binary,0.8013245033112583,16,500
specificity,binary,0.9270341207349081,16,500
precision,binary,0.8206521739130435,17,500
recall,binary,0.8,17,500
sensitivity,binary,0.8,17,500
specificity,binary,0.9307086614173228,17,500
precision,binary,0.8298755186721992,18,500
recall,binary,0.7947019867549668,18,500
sensitivity,binary,0.7947019867549668,18,500
specificity,binary,0.9354330708661417,18,500
precision,binary,0.8377622377622378,19,500
recall,binary,0.7933774834437086,19,500
sensitivity,binary,0.7933774834437086,19,500
specificity,binary,0.9391076115485564,19,500
precision,binary,0.8415841584158416,20,500
recall,binary,0.7880794701986755,20,500
sensitivity,binary,0.7880794701986755,20,500
specificity,binary,0.9412073490813648,20,500
precision,binary,0.844950213371266,21,500
recall,binary,0.7867549668874172,21,500
sensitivity,binary,0.7867549668874172,21,500
specificity,binary,0.9427821522309712,21,500
precision,binary,0.8509406657018813,22,500
recall,binary,0.7788079470198676,22,500
sensitivity,binary,0.7788079470198676,22,500
specificity,binary,0.9459317585301837,22,500
precision,binary,0.8615611192930781,23,500
recall,binary,0.7748344370860927,23,500
sensitivity,binary,0.7748344370860927,23,500
specificity,binary,0.9506561679790027,23,500
precision,binary,0.8637037037037038,24,500
recall,binary,0.7721854304635761,24,500
sensitivity,binary,0.7721854304635761,24,500
specificity,binary,0.9517060367454068,24,500
precision,binary,0.8725637181409296,25,500
recall,binary,0.7708609271523179,25,500
sensitivity,binary,0.7708609271523179,25,500
specificity,binary,0.9553805774278216,25,500
precision,binary,0.8818181818181818,26,500
recall,binary,0.7708609271523179,26,500
sensitivity,binary,0.7708609271523179,26,500
specificity,binary,0.9590551181102362,26,500
precision,binary,0.8870229007633588,27,500
recall,binary,0.7695364238410596,27,500
sensitivity,binary,0.7695364238410596,27,500
specificity,binary,0.9611548556430446,27,500
precision,binary,0.8892307692307693,28,500
recall,binary,0.7655629139072848,28,500
sensitivity,binary,0.7655629139072848,28,500
specificity,binary,0.9622047244094488,28,500
precision,binary,0.8900928792569659,29,500
recall,binary,0.7615894039735099,29,500
sensitivity,binary,0.7615894039735099,29,500
specificity,binary,0.9627296587926509,29,500
precision,binary,0.8911353032659409,30,500
recall,binary,0.7589403973509934,30,500
sensitivity,binary,0.7589403973509934,30,500
specificity,binary,0.963254593175853,30,500
precision,binary,0.890795631825273,31,500
recall,binary,0.7562913907284768,31,500
sensitivity,binary,0.7562913907284768,31,500
specificity,binary,0.963254593175853,31,500
precision,binary,0.8916797488226059,32,500
recall,binary,0.752317880794702,32,500
sensitivity,binary,0.752317880794702,32,500
specificity,binary,0.9637795275590552,32,500
precision,binary,0.8947368421052632,33,500
recall,binary,0.743046357615894,33,500
sensitivity,binary,0.743046357615894,33,500
specificity,binary,0.9653543307086614,33,500
precision,binary,0.901453957996769,34,500
recall,binary,0.7390728476821192,34,500
sensitivity,binary,0.7390728476821192,34,500
specificity,binary,0.967979002624672,34,500
precision,binary,0.9021207177814029,35,500
recall,binary,0.7324503311258278,35,500
sensitivity,binary,0.7324503311258278,35,500
specificity,binary,0.968503937007874,35,500
precision,binary,0.9047619047619048,36,500
recall,binary,0.7298013245033113,36,500
sensitivity,binary,0.7298013245033113,36,500
specificity,binary,0.9695538057742782,36,500
precision,binary,0.9060955518945635,37,500
recall,binary,0.7284768211920529,37,500
sensitivity,binary,0.7284768211920529,37,500
specificity,binary,0.9700787401574803,37,500
precision,binary,0.908485856905158,38,500
recall,binary,0.7231788079470198,38,500
sensitivity,binary,0.7231788079470198,38,500
specificity,binary,0.9711286089238845,38,500
precision,binary,0.9107744107744108,39,500
recall,binary,0.7165562913907285,39,500
sensitivity,binary,0.7165562913907285,39,500
specificity,binary,0.9721784776902888,39,500
precision,binary,0.9103214890016921,40,500
recall,binary,0.7125827814569536,40,500
sensitivity,binary,0.7125827814569536,40,500
specificity,binary,0.9721784776902888,40,500
precision,binary,0.9132653061224489,41,500
recall,binary,0.7112582781456953,41,500
sensitivity,binary,0.7112582781456953,41,500
specificity,binary,0.9732283464566929,41,500
precision,binary,0.9126712328767124,42,500
recall,binary,0.7059602649006622,42,500
sensitivity,binary,0.7059602649006622,42,500
specificity,binary,0.9732283464566929,42,500
precision,binary,0.9198606271777003,43,500
recall,binary,0.6993377483443709,43,500
sensitivity,binary,0.6993377483443709,43,500
specificity,binary,0.9758530183727034,43,500
precision,binary,0.9203539823008849,44,500
recall,binary,0.6887417218543046,44,500
sensitivity,binary,0.6887417218543046,44,500
specificity,binary,0.9763779527559056,44,500
precision,binary,0.9212880143112702,45,500
recall,binary,0.6821192052980133,45,500
sensitivity,binary,0.6821192052980133,45,500
specificity,binary,0.9769028871391076,45,500
precision,binary,0.9219600725952813,46,500
recall,binary,0.6728476821192053,46,500
sensitivity,binary,0.6728476821192053,46,500
specificity,binary,0.9774278215223097,46,500
precision,binary,0.9233576642335767,47,500
recall,binary,0.6701986754966888,47,500
sensitivity,binary,0.6701986754966888,47,500
specificity,binary,0.9779527559055118,47,500
precision,binary,0.9244935543278084,48,500
recall,binary,0.6649006622516557,48,500
sensitivity,binary,0.6649006622516557,48,500
specificity,binary,0.9784776902887139,48,500
precision,binary,0.9260628465804066,49,500
recall,binary,0.6635761589403973,49,500
sensitivity,binary,0.6635761589403973,49,500
specificity,binary,0.979002624671916,49,500
precision,binary,0.9292364990689013,50,500
recall,binary,0.6609271523178808,50,500
sensitivity,binary,0.6609271523178808,50,500
specificity,binary,0.9800524934383202,50,500
precision,binary,0.930841121495327,51,500
recall,binary,0.6596026490066225,51,500
sensitivity,binary,0.6596026490066225,51,500
specificity,binary,0.9805774278215224,51,500
precision,binary,0.9322033898305084,52,500
recall,binary,0.6556291390728477,52,500
sensitivity,binary,0.6556291390728477,52,500
specificity,binary,0.9811023622047244,52,500
precision,binary,0.9320754716981132,53,500
recall,binary,0.6543046357615894,53,500
sensitivity,binary,0.6543046357615894,53,500
specificity,binary,0.9811023622047244,53,500
precision,binary,0.9370229007633588,54,500
recall,binary,0.6503311258278146,54,500
sensitivity,binary,0.6503311258278146,54,500
specificity,binary,0.9826771653543307,54,500
precision,binary,0.9385796545105566,55,500
recall,binary,0.6476821192052981,55,500
sensitivity,binary,0.6476821192052981,55,500
specificity,binary,0.9832020997375328,55,500
precision,binary,0.9398058252427185,56,500
recall,binary,0.6410596026490066,56,500
sensitivity,binary,0.6410596026490066,56,500
specificity,binary,0.9837270341207349,56,500
precision,binary,0.9415204678362573,57,500
recall,binary,0.6397350993377483,57,500
sensitivity,binary,0.6397350993377483,57,500
specificity,binary,0.984251968503937,57,500
precision,binary,0.9410609037328095,58,500
recall,binary,0.6344370860927152,58,500
sensitivity,binary,0.6344370860927152,58,500
specificity,binary,0.984251968503937,58,500
precision,binary,0.9409448818897638,59,500
recall,binary,0.633112582781457,59,500
sensitivity,binary,0.633112582781457,59,500
specificity,binary,0.984251968503937,59,500
precision,binary,0.9446640316205533,60,500
recall,binary,0.633112582781457,60,500
sensitivity,binary,0.633112582781457,60,500
specificity,binary,0.9853018372703412,60,500
precision,binary,0.9442231075697212,61,500
recall,binary,0.6278145695364239,61,500
sensitivity,binary,0.6278145695364239,61,500
specificity,binary,0.9853018372703412,61,500
precision,binary,0.9441117764471058,62,500
recall,binary,0.6264900662251656,62,500
sensitivity,binary,0.6264900662251656,62,500
specificity,binary,0.9853018372703412,62,500
precision,binary,0.9434343434343434,63,500
recall,binary,0.6185430463576159,63,500
sensitivity,binary,0.6185430463576159,63,500
specificity,binary,0.9853018372703412,63,500
precision,binary,0.9433198380566802,64,500
recall,binary,0.6172185430463576,64,500
sensitivity,binary,0.6172185430463576,64,500
specificity,binary,0.9853018372703412,64,500
precision,binary,0.943089430894309,65,500
recall,binary,0.614569536423841,65,500
sensitivity,binary,0.614569536423841,65,500
specificity,binary,0.9853018372703412,65,500
precision,binary,0.9444444444444444,66,500
recall,binary,0.6079470198675496,66,500
sensitivity,binary,0.6079470198675496,66,500
specificity,binary,0.9858267716535433,66,500
precision,binary,0.9442148760330579,67,500
recall,binary,0.6052980132450331,67,500
sensitivity,binary,0.6052980132450331,67,500
specificity,binary,0.9858267716535433,67,500
precision,binary,0.9459459459459459,68,500
recall,binary,0.6026490066225165,68,500
sensitivity,binary,0.6026490066225165,68,500
specificity,binary,0.9863517060367454,68,500
precision,binary,0.9458333333333333,69,500
recall,binary,0.6013245033112583,69,500
sensitivity,binary,0.6013245033112583,69,500
specificity,binary,0.9863517060367454,69,500
precision,binary,0.9473684210526315,70,500
recall,binary,0.5960264900662252,70,500
sensitivity,binary,0.5960264900662252,70,500
specificity,binary,0.9868766404199475,70,500
precision,binary,0.9472573839662447,71,500
recall,binary,0.5947019867549669,71,500
sensitivity,binary,0.5947019867549669,71,500
