.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.9003167505123906,0,CD4-22h-2e11
recall,binary,1,0,CD4-22h-2e11
precision,binary,0.9008017900428864,1,CD4-22h-2e11
recall,binary,0.9997930463576159,1,CD4-22h-2e11
precision,binary,0.9027492051617729,2,CD4-22h-2e11
recall,binary,0.9989652317880795,2,CD4-22h-2e11
precision,binary,0.9062852841550622,3,CD4-22h-2e11
recall,binary,0.9966887417218543,3,CD4-22h-2e11
precision,binary,0.9123173277661796,4,CD4-22h-2e11
recall,binary,0.9948261589403974,4,CD4-22h-2e11
precision,binary,0.9206012719213721,5,CD4-22h-2e11
recall,binary,0.9886175496688742,5,CD4-22h-2e11
precision,binary,0.9285153181461115,6,CD4-22h-2e11
recall,binary,0.9784768211920529,6,CD4-22h-2e11
precision,binary,0.9370629370629371,7,CD4-22h-2e11
recall,binary,0.9706125827814569,7,CD4-22h-2e11
precision,binary,0.9473791141812271,8,CD4-22h-2e11
recall,binary,0.9650248344370861,8,CD4-22h-2e11
precision,binary,0.9530090684253916,9,CD4-22h-2e11
recall,binary,0.956953642384106,9,CD4-22h-2e11
precision,binary,0.9596824733653645,10,CD4-22h-2e11
recall,binary,0.9507450331125827,10,CD4-22h-2e11
precision,binary,0.9624472573839662,11,CD4-22h-2e11
recall,binary,0.9441225165562914,11,CD4-22h-2e11
precision,binary,0.9655465759251383,12,CD4-22h-2e11
recall,binary,0.9395695364238411,12,CD4-22h-2e11
precision,binary,0.9673469387755103,13,CD4-22h-2e11
recall,binary,0.9319122516556292,13,CD4-22h-2e11
precision,binary,0.9696772796188001,14,CD4-22h-2e11
recall,binary,0.9265314569536424,14,CD4-22h-2e11
precision,binary,0.9718463553033609,15,CD4-22h-2e11
recall,binary,0.9215645695364238,15,CD4-22h-2e11
precision,binary,0.9727472527472527,16,CD4-22h-2e11
recall,binary,0.9159768211920529,16,CD4-22h-2e11
precision,binary,0.9743419597434196,17,CD4-22h-2e11
recall,binary,0.9116307947019867,17,CD4-22h-2e11
precision,binary,0.9751055790175595,18,CD4-22h-2e11
recall,binary,0.9079056291390728,18,CD4-22h-2e11
precision,binary,0.9758767031494304,19,CD4-22h-2e11
recall,binary,0.9041804635761589,19,CD4-22h-2e11
precision,binary,0.9764521193092621,20,CD4-22h-2e11
recall,binary,0.9010761589403974,20,CD4-22h-2e11
precision,binary,0.9774419129257839,21,CD4-22h-2e11
recall,binary,0.8967301324503312,21,CD4-22h-2e11
precision,binary,0.9784775713638423,22,CD4-22h-2e11
recall,binary,0.8938327814569537,22,CD4-22h-2e11
precision,binary,0.9792095042266392,23,CD4-22h-2e11
recall,binary,0.8870033112582781,23,CD4-22h-2e11
precision,binary,0.9793577981651376,24,CD4-22h-2e11
recall,binary,0.8836920529801324,24,CD4-22h-2e11
precision,binary,0.9794930875576037,25,CD4-22h-2e11
recall,binary,0.8797599337748344,25,CD4-22h-2e11
precision,binary,0.9801064075873236,26,CD4-22h-2e11
recall,binary,0.8768625827814569,26,CD4-22h-2e11
precision,binary,0.9804605722260991,27,CD4-22h-2e11
recall,binary,0.8723096026490066,27,CD4-22h-2e11
precision,binary,0.9803646563814866,28,CD4-22h-2e11
recall,binary,0.8679635761589404,28,CD4-22h-2e11
precision,binary,0.9814553990610329,29,CD4-22h-2e11
recall,binary,0.8652731788079471,29,CD4-22h-2e11
precision,binary,0.9813635291342298,30,CD4-22h-2e11
recall,binary,0.8609271523178808,30,CD4-22h-2e11
precision,binary,0.9812884888678352,31,CD4-22h-2e11
recall,binary,0.8574089403973509,31,CD4-22h-2e11
precision,binary,0.981459472308058,32,CD4-22h-2e11
recall,binary,0.8545115894039735,32,CD4-22h-2e11
precision,binary,0.9816185247075674,33,CD4-22h-2e11
recall,binary,0.8509933774834437,33,CD4-22h-2e11
precision,binary,0.9815436241610739,34,CD4-22h-2e11
recall,binary,0.8474751655629139,34,CD4-22h-2e11
precision,binary,0.981468110709988,35,CD4-22h-2e11
recall,binary,0.8439569536423841,35,CD4-22h-2e11
precision,binary,0.9821212853346218,36,CD4-22h-2e11
recall,binary,0.8412665562913907,36,CD4-22h-2e11
precision,binary,0.9822987390882638,37,CD4-22h-2e11
recall,binary,0.8383692052980133,37,CD4-22h-2e11
precision,binary,0.9824475865431497,38,CD4-22h-2e11
recall,binary,0.8340231788079471,38,CD4-22h-2e11
precision,binary,0.9825980392156862,39,CD4-22h-2e11
recall,binary,0.8296771523178808,39,CD4-22h-2e11
precision,binary,0.9827882960413081,40,CD4-22h-2e11
recall,binary,0.8271937086092715,40,CD4-22h-2e11
precision,binary,0.9831891223733004,41,CD4-22h-2e11
recall,binary,0.8230546357615894,41,CD4-22h-2e11
precision,binary,0.9833705634152395,42,CD4-22h-2e11
recall,binary,0.8199503311258278,42,CD4-22h-2e11
precision,binary,0.9835575485799701,43,CD4-22h-2e11
recall,binary,0.8170529801324503,43,CD4-22h-2e11
precision,binary,0.9835,44,CD4-22h-2e11
recall,binary,0.8141556291390728,44,CD4-22h-2e11
precision,binary,0.983939774153074,45,CD4-22h-2e11
recall,binary,0.8114652317880795,45,CD4-22h-2e11
precision,binary,0.9838546922300706,46,CD4-22h-2e11
recall,binary,0.8071192052980133,46,CD4-22h-2e11
precision,binary,0.9840667678300455,47,CD4-22h-2e11
recall,binary,0.8052566225165563,47,CD4-22h-2e11
precision,binary,0.9847677075399848,48,CD4-22h-2e11
recall,binary,0.8027731788079471,48,CD4-22h-2e11
precision,binary,0.9852229299363058,49,CD4-22h-2e11
recall,binary,0.8002897350993378,49,CD4-22h-2e11
precision,binary,0.9854480469747255,50,CD4-22h-2e11
recall,binary,0.7988410596026491,50,CD4-22h-2e11
precision,binary,0.9853883619584722,51,CD4-22h-2e11
recall,binary,0.7955298013245033,51,CD4-22h-2e11
precision,binary,0.9853244078269825,52,CD4-22h-2e11
recall,binary,0.7920115894039735,52,CD4-22h-2e11
precision,binary,0.9852522639068564,53,CD4-22h-2e11
recall,binary,0.7880794701986755,53,CD4-22h-2e11
precision,binary,0.9851909586905689,54,CD4-22h-2e11
recall,binary,0.7847682119205298,54,CD4-22h-2e11
precision,binary,0.985140771637122,55,CD4-22h-2e11
recall,binary,0.7820778145695364,55,CD4-22h-2e11
precision,binary,0.985351817944023,56,CD4-22h-2e11
recall,binary,0.7795943708609272,56,CD4-22h-2e11
precision,binary,0.985575662208235,57,CD4-22h-2e11
recall,binary,0.7777317880794702,57,CD4-22h-2e11
precision,binary,0.9858006836707862,58,CD4-22h-2e11
recall,binary,0.7758692052980133,58,CD4-22h-2e11
precision,binary,0.9862833025586917,59,CD4-22h-2e11
recall,binary,0.7737996688741722,59,CD4-22h-2e11
precision,binary,0.9865043662344536,60,CD4-22h-2e11
recall,binary,0.7715231788079471,60,CD4-22h-2e11
precision,binary,0.9864469837895297,61,CD4-22h-2e11
recall,binary,0.7682119205298014,61,CD4-22h-2e11
precision,binary,0.9863963723659642,62,CD4-22h-2e11
recall,binary,0.7653145695364238,62,CD4-22h-2e11
precision,binary,0.9863526893229864,63,CD4-22h-2e11
recall,binary,0.7628311258278145,63,CD4-22h-2e11
precision,binary,0.986580783682233,64,CD4-22h-2e11
recall,binary,0.7607615894039735,64,CD4-22h-2e11
precision,binary,0.9865482916330374,65,CD4-22h-2e11
recall,binary,0.7588990066225165,65,CD4-22h-2e11
precision,binary,0.9865156418554477,66,CD4-22h-2e11
recall,binary,0.7570364238410596,66,CD4-22h-2e11
precision,binary,0.9867460102786043,67,CD4-22h-2e11
recall,binary,0.7549668874172185,67,CD4-22h-2e11
precision,binary,0.9866992399565689,68,CD4-22h-2e11
recall,binary,0.7522764900662252,68,CD4-22h-2e11
precision,binary,0.9866630375612412,69,CD4-22h-2e11
recall,binary,0.7502069536423841,69,CD4-22h-2e11
precision,binary,0.9866448623603161,70,CD4-22h-2e11
recall,binary,0.7491721854304636,70,CD4-22h-2e11
precision,binary,0.9868565169769989,71,CD4-22h-2e11
recall,binary,0.7458609271523179,71,CD4-22h-2e11
precision,binary,0.9870594713656388,72,CD4-22h-2e11
recall,binary,0.7419288079470199,72,CD4-22h-2e11
precision,binary,0.9870237437879624,73,CD4-22h-2e11
recall,binary,0.7398592715231788,73,CD4-22h-2e11
precision,binary,0.9870022123893806,74,CD4-22h-2e11
recall,binary,0.7386175496688742,74,CD4-22h-2e11
precision,binary,0.986969780981425,75,CD4-22h-2e11
recall,binary,0.7367549668874173,75,CD4-22h-2e11
precision,binary,0.9872257706192724,76,CD4-22h-2e11
recall,binary,0.7357201986754967,76,CD4-22h-2e11
precision,binary,0.9871794871794872,77,CD4-22h-2e11
