.metric,.estimator,.estimate,umi_cutoff,group
precision,binary,0.9003167505123906,0,CD4-22h-2e11
recall,binary,1,0,CD4-22h-2e11
precision,binary,0.9009513150531617,1,CD4-22h-2e11
recall,binary,0.9995860927152318,1,CD4-22h-2e11
precision,binary,0.9033345822405395,2,CD4-22h-2e11
recall,binary,0.9979304635761589,2,CD4-22h-2e11
precision,binary,0.9093832765796444,3,CD4-22h-2e11
recall,binary,0.9948261589403974,3,CD4-22h-2e11
precision,binary,0.915519877675841,4,CD4-22h-2e11
recall,binary,0.9913079470198676,4,CD4-22h-2e11
precision,binary,0.9236877784233972,5,CD4-22h-2e11
recall,binary,0.9869619205298014,5,CD4-22h-2e11
precision,binary,0.932626203103516,6,CD4-22h-2e11
recall,binary,0.9826158940397351,6,CD4-22h-2e11
precision,binary,0.9419277589303532,7,CD4-22h-2e11
recall,binary,0.9768211920529801,7,CD4-22h-2e11
precision,binary,0.9493414387031408,8,CD4-22h-2e11
recall,binary,0.9695778145695364,8,CD4-22h-2e11
precision,binary,0.9555145551455515,9,CD4-22h-2e11
recall,binary,0.9646109271523179,9,CD4-22h-2e11
precision,binary,0.9605208763952047,10,CD4-22h-2e11
recall,binary,0.9617135761589404,10,CD4-22h-2e11
precision,binary,0.9633256928526777,11,CD4-22h-2e11
recall,binary,0.9567466887417219,11,CD4-22h-2e11
precision,binary,0.9650188521156263,12,CD4-22h-2e11
recall,binary,0.9534354304635762,12,CD4-22h-2e11
precision,binary,0.9676395939086294,13,CD4-22h-2e11
recall,binary,0.9468129139072847,13,CD4-22h-2e11
precision,binary,0.9693682195277601,14,CD4-22h-2e11
recall,binary,0.9430877483443708,14,CD4-22h-2e11
precision,binary,0.9708779443254818,15,CD4-22h-2e11
recall,binary,0.9383278145695364,15,CD4-22h-2e11
precision,binary,0.9713670613562971,16,CD4-22h-2e11
recall,binary,0.9337748344370861,16,CD4-22h-2e11
precision,binary,0.9721081081081081,17,CD4-22h-2e11
recall,binary,0.9304635761589404,17,CD4-22h-2e11
precision,binary,0.9726205997392438,18,CD4-22h-2e11
recall,binary,0.9263245033112583,18,CD4-22h-2e11
precision,binary,0.9737991266375546,19,CD4-22h-2e11
recall,binary,0.9230132450331126,19,CD4-22h-2e11
precision,binary,0.9751811992093126,20,CD4-22h-2e11
recall,binary,0.9188741721854304,20,CD4-22h-2e11
precision,binary,0.9761852260198457,21,CD4-22h-2e11
recall,binary,0.9161837748344371,21,CD4-22h-2e11
precision,binary,0.9772023019034971,22,CD4-22h-2e11
recall,binary,0.9137003311258278,22,CD4-22h-2e11
precision,binary,0.9775455758114717,23,CD4-22h-2e11
recall,binary,0.9099751655629139,23,CD4-22h-2e11
precision,binary,0.977921498661909,24,CD4-22h-2e11
recall,binary,0.9074917218543046,24,CD4-22h-2e11
precision,binary,0.978309481216458,25,CD4-22h-2e11
recall,binary,0.9054221854304636,25,CD4-22h-2e11
precision,binary,0.9784511784511785,26,CD4-22h-2e11
recall,binary,0.9021109271523179,26,CD4-22h-2e11
precision,binary,0.9788240594728542,27,CD4-22h-2e11
recall,binary,0.8992135761589404,27,CD4-22h-2e11
precision,binary,0.9796564195298373,28,CD4-22h-2e11
recall,binary,0.8969370860927153,28,CD4-22h-2e11
precision,binary,0.9796010879419764,29,CD4-22h-2e11
recall,binary,0.894453642384106,29,CD4-22h-2e11
precision,binary,0.9795361527967258,30,CD4-22h-2e11
recall,binary,0.8915562913907285,30,CD4-22h-2e11
precision,binary,0.9796896394340484,31,CD4-22h-2e11
recall,binary,0.8884519867549668,31,CD4-22h-2e11
precision,binary,0.9805313788364636,32,CD4-22h-2e11
recall,binary,0.8859685430463576,32,CD4-22h-2e11
precision,binary,0.9813578826237054,33,CD4-22h-2e11
recall,binary,0.8824503311258278,33,CD4-22h-2e11
precision,binary,0.9819694868238558,34,CD4-22h-2e11
recall,binary,0.8791390728476821,34,CD4-22h-2e11
precision,binary,0.9819151402735915,35,CD4-22h-2e11
recall,binary,0.8764486754966887,35,CD4-22h-2e11
precision,binary,0.9823214701093278,36,CD4-22h-2e11
recall,binary,0.8739652317880795,36,CD4-22h-2e11
precision,binary,0.9822719850711453,37,CD4-22h-2e11
recall,binary,0.8714817880794702,37,CD4-22h-2e11
precision,binary,0.9824355971896955,38,CD4-22h-2e11
recall,binary,0.8681705298013245,38,CD4-22h-2e11
precision,binary,0.982637259502581,39,CD4-22h-2e11
recall,binary,0.8667218543046358,39,CD4-22h-2e11
precision,binary,0.9830548364321017,40,CD4-22h-2e11
recall,binary,0.8644453642384106,40,CD4-22h-2e11
precision,binary,0.983227025750059,41,CD4-22h-2e11
recall,binary,0.8613410596026491,41,CD4-22h-2e11
precision,binary,0.9834280303030303,42,CD4-22h-2e11
recall,binary,0.8596854304635762,42,CD4-22h-2e11
precision,binary,0.983626008542952,43,CD4-22h-2e11
recall,binary,0.8578228476821192,43,CD4-22h-2e11
precision,binary,0.9837824946339137,44,CD4-22h-2e11
recall,binary,0.8536837748344371,44,CD4-22h-2e11
precision,binary,0.9837320574162679,45,CD4-22h-2e11
recall,binary,0.8509933774834437,45,CD4-22h-2e11
precision,binary,0.9839328537170264,46,CD4-22h-2e11
recall,binary,0.8491307947019867,46,CD4-22h-2e11
precision,binary,0.9839019702066314,47,CD4-22h-2e11
recall,binary,0.8474751655629139,47,CD4-22h-2e11
precision,binary,0.9840963855421687,48,CD4-22h-2e11
recall,binary,0.8451986754966887,48,CD4-22h-2e11
precision,binary,0.9845111326234269,49,CD4-22h-2e11
recall,binary,0.8418874172185431,49,CD4-22h-2e11
precision,binary,0.9847198641765704,50,CD4-22h-2e11
recall,binary,0.8402317880794702,50,CD4-22h-2e11
precision,binary,0.9849185113111165,51,CD4-22h-2e11
recall,binary,0.8379552980132451,51,CD4-22h-2e11
precision,binary,0.9851001465559355,52,CD4-22h-2e11
recall,binary,0.8346440397350994,52,CD4-22h-2e11
precision,binary,0.9850746268656716,53,CD4-22h-2e11
recall,binary,0.8331953642384106,53,CD4-22h-2e11
precision,binary,0.9855143628774858,54,CD4-22h-2e11
recall,binary,0.8307119205298014,54,CD4-22h-2e11
precision,binary,0.9854679802955665,55,CD4-22h-2e11
recall,binary,0.828021523178808,55,CD4-22h-2e11
precision,binary,0.9854176964903608,56,CD4-22h-2e11
recall,binary,0.8251241721854304,56,CD4-22h-2e11
precision,binary,0.9853815659068385,57,CD4-22h-2e11
recall,binary,0.8230546357615894,57,CD4-22h-2e11
precision,binary,0.9853416149068323,58,CD4-22h-2e11
recall,binary,0.8207781456953642,58,CD4-22h-2e11
precision,binary,0.9853014449427006,59,CD4-22h-2e11
recall,binary,0.8185016556291391,59,CD4-22h-2e11
precision,binary,0.9854963740935234,60,CD4-22h-2e11
recall,binary,0.8156043046357616,60,CD4-22h-2e11
precision,binary,0.9854527213443692,61,CD4-22h-2e11
recall,binary,0.8131208609271523,61,CD4-22h-2e11
precision,binary,0.9859013091641491,62,CD4-22h-2e11
recall,binary,0.8104304635761589,62,CD4-22h-2e11
precision,binary,0.9863705199394245,63,CD4-22h-2e11
recall,binary,0.8087748344370861,63,CD4-22h-2e11
precision,binary,0.9863532979529946,64,CD4-22h-2e11
recall,binary,0.8077400662251656,64,CD4-22h-2e11
precision,binary,0.9865550481988838,65,CD4-22h-2e11
recall,binary,0.8048427152317881,65,CD4-22h-2e11
precision,binary,0.9867751780264497,66,CD4-22h-2e11
recall,binary,0.8029801324503312,66,CD4-22h-2e11
precision,binary,0.9867482161060143,67,CD4-22h-2e11
recall,binary,0.8013245033112583,67,CD4-22h-2e11
precision,binary,0.986959856814114,68,CD4-22h-2e11
recall,binary,0.7988410596026491,68,CD4-22h-2e11
precision,binary,0.9871893415321548,69,CD4-22h-2e11
recall,binary,0.7973923841059603,69,CD4-22h-2e11
precision,binary,0.9871498329478283,70,CD4-22h-2e11
recall,binary,0.7949089403973509,70,CD4-22h-2e11
precision,binary,0.9873711340206186,71,CD4-22h-2e11
recall,binary,0.7928394039735099,71,CD4-22h-2e11
precision,binary,0.9875840662183135,72,CD4-22h-2e11
recall,binary,0.7901490066225165,72,CD4-22h-2e11
precision,binary,0.9875550946331345,73,CD4-22h-2e11
recall,binary,0.7882864238410596,73,CD4-22h-2e11
precision,binary,0.9877636032283259,74,CD4-22h-2e11
recall,binary,0.785182119205298,74,CD4-22h-2e11
precision,binary,0.9882567849686847,75,CD4-22h-2e11
recall,binary,0.7837334437086093,75,CD4-22h-2e11
precision,binary,0.9882106366256223,76,CD4-22h-2e11
recall,binary,0.7806291390728477,76,CD4-22h-2e11
precision,binary,0.9887050170738114,77,CD4-22h-2e11
