conditions,genes,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
6h-2e11,Aff3,1.4302805443118637e-62,0.6987314671602074,0.858,0.706,1.972499898660491e-58
6h-2e11,Pim2,1.199397539613184e-60,1.0084984856948827,0.571,0.334,1.654089146880542e-56
6h-2e11,Il2ra,9.492621775662676e-57,0.5691360330263082,0.942,0.886,1.3091274690816397e-52
6h-2e11,Il2,8.715623749021538e-55,-2.140345329802197,0.166,0.359,1.2019716712275602e-50
6h-2e11,Selplg,1.3156443072204684e-54,0.8999646992002959,0.62,0.413,1.814405064087748e-50
6h-2e11,Ccl4,4.127045360090705e-51,-1.5785218827722374,0.279,0.482,5.691608256101091e-47
6h-2e11,Gramd1b,1.2766185612202201e-50,-0.7661395526933594,0.718,0.838,1.7605846577788056e-46
6h-2e11,Eea1,3.9760124374179697e-47,-0.6871434356130601,0.625,0.764,5.483318752443122e-43
6h-2e11,Samhd1,7.470580002659277e-47,0.7731291198055779,0.646,0.452,1.0302676881667409e-42
6h-2e11,Hspa5,5.5298236976509886e-46,-0.4589467723669176,0.872,0.942,7.626179861430479e-42
6h-2e11,Hivep3,3.337066938115845e-45,-0.638178622848954,0.688,0.82,4.602149014355562e-41
6h-2e11,Arhgap15,1.7871942977223095e-44,0.46927600741606157,0.93,0.875,2.464719655988837e-40
6h-2e11,Ncl,2.290078339453848e-44,-0.30528728695261576,0.998,0.999,3.1582470379408015e-40
6h-2e11,Pik3cd,1.492865480209415e-43,0.7385539620713681,0.682,0.515,2.0588107837568044e-39
6h-2e11,Hspd1,8.864557132302239e-43,-0.33552766035075887,0.976,0.987,1.2225110741158018e-38
6h-2e11,Ccr7,1.6139398129558537e-42,0.6736725968222244,0.716,0.549,2.2257843960474177e-38
6h-2e11,Marcksl1,2.793586615896638e-41,-0.6221438728986229,0.655,0.782,3.8526353019830535e-37
6h-2e11,Cd274,4.4158562868480527e-41,-0.8145295311306018,0.361,0.547,6.089907405192149e-37
6h-2e11,Cish,1.8602850442662303e-40,0.8189158523956724,0.512,0.315,2.5655191045475582e-36
6h-2e11,Eef1e1,3.485580755055594e-40,-0.6588458913308766,0.538,0.699,4.8069644192971694e-36
6h-2e11,Dgka,1.86616107740585e-39,0.6663412310773047,0.698,0.525,2.573622741850408e-35
6h-2e11,Gm2682,4.111764972500741e-39,0.7675722891991378,0.589,0.405,5.670535073575772e-35
6h-2e11,Eif1,9.69119450535625e-39,-0.25793880958398807,0.996,0.998,1.3365126342336805e-34
6h-2e11,Ccl3,5.29403622098642e-38,-1.895277201639826,0.136,0.287,7.301005352362372e-34
6h-2e11,Grap2,5.487761958600265e-38,0.78730345296679,0.538,0.352,7.568172517105626e-34
6h-2e11,Nolc1,1.124882432156709e-37,-0.47401183123482105,0.757,0.864,1.551325362187317e-33
6h-2e11,St3gal1,1.8790701084164047e-37,-0.8715913477566712,0.316,0.493,2.5914255865170637e-33
6h-2e11,Hnrnpll,5.961346688648223e-37,-0.7235749564245579,0.503,0.651,8.221293218314764e-33
6h-2e11,Bcl2,7.741465722657017e-37,0.6843933159325201,0.63,0.466,1.0676255378116293e-32
6h-2e11,Cd40lg,1.5637042947955423e-35,-0.9040059808425236,0.361,0.528,2.1565045929525323e-31
6h-2e11,Gtpbp4,2.2383044722360679e-35,-0.4846394317792201,0.677,0.803,3.0868456976607613e-31
6h-2e11,Shisa5,5.258838989836905e-35,0.42377261587867165,0.9,0.819,7.252464850884075e-31
6h-2e11,Slfn2,8.466066964961364e-35,-0.5630379253690603,0.644,0.755,1.1675552951378217e-30
6h-2e11,Icos,1.2908262196197e-34,0.6712469021224409,0.607,0.433,1.7801784394775283e-30
6h-2e11,Id3,1.697972536519879e-34,-0.7176977566309629,0.633,0.753,2.341673925114565e-30
6h-2e11,Cnbp,2.0598441276246598e-34,-0.31891209422837163,0.946,0.974,2.8407310364071682e-30
6h-2e11,Klf2,2.220593114600597e-33,1.363364535043689,0.294,0.145,3.0624199643456836e-29
6h-2e11,Srsf2,3.0518280106975336e-32,-0.36014326609359104,0.909,0.951,4.208776009552969e-28
6h-2e11,Ltb,3.6846897735423823e-32,0.5912414061034285,0.598,0.421,5.0815556666923e-28
6h-2e11,Arhgap45,4.1192940106316074e-32,0.5617407192377213,0.674,0.521,5.680918370062049e-28
6h-2e11,Tnfsf11,9.00517163339725e-32,-0.6748482016654906,0.491,0.639,1.2419032199618147e-27
6h-2e11,Snu13,1.362960541453047e-31,-0.3983822273078921,0.852,0.914,1.8796588827178973e-27
6h-2e11,Hnrnpab,1.4087328724571373e-31,-0.28979425246994817,0.986,0.993,1.942783504405638e-27
6h-2e11,Mir155hg,1.4974987320709782e-31,-0.7314538069893555,0.431,0.585,2.065200501399086e-27
6h-2e11,Nop56,1.9644697556288144e-31,-0.4043352882838718,0.815,0.893,2.7092002399876978e-27
6h-2e11,Pitpnc1,3.0662907158012214e-31,0.601228063555368,0.654,0.501,4.2287215261614645e-27
6h-2e11,Srsf7,3.1609043091678474e-31,-0.3476518966918407,0.91,0.953,4.3592031327733784e-27
6h-2e11,Rgcc,3.846816645373855e-31,-0.802869469981269,0.41,0.555,5.305144835635083e-27
6h-2e11,Tcf7,6.962292534234138e-31,0.5845552169014863,0.696,0.554,9.6016976339623e-27
6h-2e11,Nfkbid,8.268900513840451e-31,-0.784476637073048,0.279,0.441,1.1403640698637366e-26
6h-2e11,S100a10,9.34907814306708e-31,0.5124150414183478,0.856,0.776,1.289331366710381e-26
6h-2e11,Cd226,2.0769185262682098e-30,-0.5586127588795926,0.574,0.703,2.864278339576488e-26
6h-2e11,Socs2,3.326195337562312e-30,1.0395293339072098,0.306,0.158,4.5871559900321844e-26
6h-2e11,Srm,2.3453219689984953e-29,-0.5000594273637504,0.643,0.77,3.234433527445825e-25
6h-2e11,Eif4a1,3.0361098164006747e-29,-0.24731089776800186,0.983,0.991,4.18709904779817e-25
6h-2e11,Cd200,2.509118690375294e-28,-0.4392159887237028,0.743,0.832,3.460325585896568e-24
6h-2e11,Cd82,3.234021953911806e-28,-0.6485819981713974,0.522,0.644,4.4600396766397716e-24
